Test time, Test, Node, Response Time, Error
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Barcelona  ES - Adam,0.431,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Barcelona  ES - Adam,1.314,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Melbourne  AU - Intervolve,2.562,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Madrid  Spain - Orange,0.846,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Madrid  Spain - Orange,1.464,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Perth - Telstra,4.659,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Perth - Telstra,1.781,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Munich  Germany - Telefonica,0.339,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Munich  Germany - Telefonica,0.814,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,London  UK - Cable & Wireless,0.258,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,London  UK - Cable & Wireless,0.474,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Paris  France - Limelight,0.678,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Paris  France - Limelight,0.421,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Bangalore  India - TATA (VSNL),4.084,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Bangalore  India - TATA (VSNL),1.752,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Dallas  TX - AT&T,2.958,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Melbourne  AU - Intervolve,6.034,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Berlin  Germany - Versatel,0.876,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Berlin  Germany - Versatel,0.85,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Dallas  TX - AT&T,1.141,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Madrid  Spain - Telefonica,0.57,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Madrid  Spain - Telefonica,0.288,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Rome  Italy - ITnet,0.572,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Rome  Italy - ITnet,0.566,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Tokyo  Japan - NTT,4.768,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Tokyo  Japan - NTT,1.773,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Barcelona  ES - Adam - IPv6,0.847,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Barcelona  ES - Adam - IPv6,0.684,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,New York  NY - Sprint,0.662,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,New York  NY - Sprint,1.955,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Mesa  AZ - AT&T,3.526,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Mesa  AZ - AT&T,1.125,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Washington  D.C. - Verizon,0.879,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Washington  D.C. - Verizon,1.196,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Tokyo  Japan - KDDI,1.767,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Singapore  Singapore - Singtel,2.161,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Singapore  Singapore - Singtel,5.725,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Paris  France - France Telecom,0.873,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Paris  France - France Telecom,0.174,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Atlanta  GA - Verizon,0.836,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Atlanta  GA - Verizon,2.059,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Tokyo  Japan - KDDI,5.106,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,San Jose  CA - Verizon,2.773,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,San Jose  CA - Verizon,1.401,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,London  UK - Verizon,0.268,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,London  UK - Verizon,0.408,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Boston  MA - Savvis,1.26,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Boston  MA - Savvis,1.204,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,London  UK - Telstra,1.12,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,London  UK - Telstra,0.191,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Sydney  Australia - Telstra,2.114,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Sydney  Australia - Telstra,3.04,
03-03-2014 08:10, gskbio-origin-sbhardwa - FF Agent,Los Angeles  CA - Verizon,3.175,
03-03-2014 08:10, gskbio-akamai-sbhardwa - FF Agent,Los Angeles  CA - Verizon,1.171,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Barcelona  ES - Adam,0.683,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Barcelona  ES - Adam,0.473,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Melbourne  AU - Intervolve,2.988,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Madrid  Spain - Orange,0.378,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Melbourne  AU - Intervolve,3.597,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Madrid  Spain - Orange,0.705,
